# this list is partitioned you can remove any unwanted partition and rerun the script unroute then route
#discord ips -------------------------
34.0.0.0	255.255.0.0
66.22.248.21 255.255.255.255
66.22.197.108 255.255.255.255
66.22.217.151 255.255.255.255
66.22.218.98 255.255.255.255
66.22.216.107 255.255.255.255
66.22.221.130 255.255.255.255
66.22.230.5 255.255.255.255
66.22.237.137 255.255.255.255
66.22.217.6 255.255.255.255
66.22.219.60 255.255.255.255
66.22.216.18 255.255.255.255
66.22.235.4 255.255.255.255
138.128.140.245 255.255.255.255
66.22.217.123 255.255.255.255
66.22.217.40 255.255.255.255
66.22.221.118 255.255.255.255
66.22.227.51 255.255.255.255
66.22.210.9 255.255.255.255
66.22.238.140 255.255.255.255
66.22.216.50 255.255.255.255
66.22.221.55 255.255.255.255
66.22.196.45 255.255.255.255
66.22.200.42 255.255.255.255
66.22.198.107 255.255.255.255
66.22.200.57 255.255.255.255
66.22.202.68 255.255.255.255
66.22.217.133 255.255.255.255
66.22.216.23 255.255.255.255
66.22.198.166 255.255.255.255
66.22.227.63 255.255.255.255
66.22.230.134 255.255.255.255
66.22.231.148 255.255.255.255
66.22.216.100 255.255.255.255
66.22.235.139 255.255.255.255
66.22.202.61 255.255.255.255
66.22.220.88 255.255.255.255
66.22.217.124 255.255.255.255
66.22.216.26 255.255.255.255
66.22.234.14 255.255.255.255
66.22.216.165 255.255.255.255
66.22.231.70 255.255.255.255
66.22.246.80 255.255.255.255
66.22.219.96 255.255.255.255
66.22.227.114 255.255.255.255
66.22.221.59 255.255.255.255
66.22.220.61 255.255.255.255
66.22.198.176 255.255.255.255
66.22.219.79 255.255.255.255
66.22.246.175 255.255.255.255
66.22.217.13 255.255.255.255
66.22.200.69 255.255.255.255
66.22.220.127 255.255.255.255
66.22.219.75 255.255.255.255
66.22.218.43 255.255.255.255
66.22.226.38 255.255.255.255
66.22.220.52 255.255.255.255
66.22.216.139 255.255.255.255
66.22.244.5 255.255.255.255
66.22.221.102 255.255.255.255
66.22.219.98 255.255.255.255
66.22.217.91 255.255.255.255
66.22.198.203 255.255.255.255
66.22.220.84 255.255.255.255
66.22.218.14 255.255.255.255
66.22.246.192 255.255.255.255
66.22.196.30 255.255.255.255
66.22.238.139 255.255.255.255
66.22.217.135 255.255.255.255
66.22.226.12 255.255.255.255
66.22.220.8 255.255.255.255
66.22.244.137 255.255.255.255
66.22.216.9 255.255.255.255
66.22.199.2 255.255.255.255
66.22.234.10 255.255.255.255
66.22.219.85 255.255.255.255
66.22.247.137 255.255.255.255
66.22.217.62 255.255.255.255
66.22.198.40 255.255.255.255
66.22.246.158 255.255.255.255
66.22.197.93 255.255.255.255
66.22.223.121 255.255.255.255
66.22.248.12 255.255.255.255
66.22.238.145 255.255.255.255
66.22.218.102 255.255.255.255
66.22.244.31 255.255.255.255
66.22.248.11 255.255.255.255
66.22.241.137 255.255.255.255
66.22.216.38 255.255.255.255
35.215.106.138 255.255.255.255
35.215.135.22 255.255.255.255
35.213.93.254 255.255.255.255
66.22.217.174 255.255.255.255
66.22.221.112 255.255.255.255
66.22.233.50 255.255.255.255
66.22.231.44 255.255.255.255
66.22.217.161 255.255.255.255
66.22.244.157 255.255.255.255
66.22.247.144 255.255.255.255
66.22.246.230 255.255.255.255
66.22.220.4 255.255.255.255
66.22.234.134 255.255.255.255
66.22.227.88 255.255.255.255
66.22.237.157 255.255.255.255
66.22.247.152 255.255.255.255
66.22.216.130 255.255.255.255
66.22.238.19 255.255.255.255

# youtube ips
64.18.0.0   255.255.240.0
64.233.160.0    255.255.224.0
66.102.0.0  255.255.240.0
66.249.80.0 255.255.240.0
72.14.192.0 255.255.192.0
74.125.0.0  255.255.0.0
173.194.0.0 255.255.0.0
207.126.144.0   255.255.240
209.85.128.0    255.255.128.0
216.58.208.0    255.255.240.0
216.239.32.0    255.255.224.0
